00A0 ! 0020 # <noBreak>
FC0A ! 0628 064A # <isolated>
FC0B ! 062A 062C # <isolated>
FC0C ! 062A 062D # <isolated>
FC0D ! 062A 062E # <isolated>
FC0E ! 062A 0645 # <isolated>
FC0F ! 062A 0649 # <isolated>
FC10 ! 062A 064A # <isolated>
FC11 ! 062B 062C # <isolated>
FC12 ! 062B 0645 # <isolated>
FC13 ! 062B 0649 # <isolated>
FC14 ! 062B 064A # <isolated>
FC15 ! 062C 062D # <isolated>
FC16 ! 062C 0645 # <isolated>
FC17 ! 062D 062C # <isolated>
FC18 ! 062D 0645 # <isolated>
FC19 ! 062E 062C # <isolated>
FC1A ! 062E 062D # <isolated>
FC1B ! 062E 0645 # <isolated>
FC1C ! 0633 062C # <isolated>
FC1D ! 0633 062D # <isolated>
FC1E ! 0633 062E # <isolated>
FC1F ! 0633 0645 # <isolated>
FC20 ! 0635 062D # <isolated>
FC21 ! 0635 0645 # <isolated>
FC22 ! 0636 062C # <isolated>
FC23 ! 0636 062D # <isolated>
FC24 ! 0636 062E # <isolated>
FC25 ! 0636 0645 # <isolated>
FC26 ! 0637 062D # <isolated>
FC27 ! 0637 0645 # <isolated>
FC28 ! 0638 0645 # <isolated>
FC29 ! 0639 062C # <isolated>
FC2A ! 0639 0645 # <isolated>
FC2B ! 063A 062C # <isolated>
FC2C ! 063A 0645 # <isolated>
FC2D ! 0641 062C # <isolated>
FC2E ! 0641 062D # <isolated>
FC2F ! 0641 062E # <isolated>
FC30 ! 0641 0645 # <isolated>
FC31 ! 0641 0649 # <isolated>
FC32 ! 0641 064A # <isolated>
FC33 ! 0642 062D # <isolated>
FC34 ! 0642 0645 # <isolated>
FC35 ! 0642 0649 # <isolated>
FC36 ! 0642 064A # <isolated>
FC37 ! 0643 0627 # <isolated>
FC38 ! 0643 062C # <isolated>
FC39 ! 0643 062D # <isolated>
FC3A ! 0643 062E # <isolated>
FC3B ! 0643 0644 # <isolated>
FC3C ! 0643 0645 # <isolated>
FC3D ! 0643 0649 # <isolated>
FC3E ! 0643 064A # <isolated>
FC3F ! 0644 062C # <isolated>
FC40 ! 0644 062D # <isolated>
FC41 ! 0644 062E # <isolated>
FC42 ! 0644 0645 # <isolated>
FC43 ! 0644 0649 # <isolated>
FC44 ! 0644 064A # <isolated>
FC45 ! 0645 062C # <isolated>
FC46 ! 0645 062D # <isolated>
FC47 ! 0645 062E # <isolated>
FC48 ! 0645 0645 # <isolated>
FC49 ! 0645 0649 # <isolated>
FC4A ! 0645 064A # <isolated>
FC4B ! 0646 062C # <isolated>
FC4C ! 0646 062D # <isolated>
FC4D ! 0646 062E # <isolated>
FC4E ! 0646 0645 # <isolated>
FC4F ! 0646 0649 # <isolated>
FC50 ! 0646 064A # <isolated>
FC51 ! 0647 062C # <isolated>
FC52 ! 0647 0645 # <isolated>
FC53 ! 0647 0649 # <isolated>
FC54 ! 0647 064A # <isolated>
FC55 ! 064A 062C # <isolated>
FC56 ! 064A 062D # <isolated>
FC57 ! 064A 062E # <isolated>
FC58 ! 064A 0645 # <isolated>
FC59 ! 064A 0649 # <isolated>
FC5A ! 064A 064A # <isolated>
FC5B ! 0630 0670 # <isolated>
FC5C ! 0631 0670 # <isolated>
FC5D ! 0649 0670 # <isolated>
FC64 ! 0626 0631 # <final>
FC64 ! 064A 0654 0631 # <final>
FC65 ! 0626 0632 # <final>
FC65 ! 064A 0654 0632 # <final>
FC66 ! 0626 0645 # <final>
FC66 ! 064A 0654 0645 # <final>
FC67 ! 0626 0646 # <final>
FC67 ! 064A 0654 0646 # <final>
FC68 ! 0626 0649 # <final>
FC68 ! 064A 0654 0649 # <final>
FC69 ! 0626 064A # <final>
FC69 ! 064A 0654 064A # <final>
FC6A ! 0628 0631 # <final>
FC6B ! 0628 0632 # <final>
FC6C ! 0628 0645 # <final>
FC6D ! 0628 0646 # <final>
FC6E ! 0628 0649 # <final>
FC6F ! 0628 064A # <final>
FC70 ! 062A 0631 # <final>
FC71 ! 062A 0632 # <final>
FC72 ! 062A 0645 # <final>
FC73 ! 062A 0646 # <final>
FC74 ! 062A 0649 # <final>
FC75 ! 062A 064A # <final>
FC76 ! 062B 0631 # <final>
FC77 ! 062B 0632 # <final>
FC78 ! 062B 0645 # <final>
FC79 ! 062B 0646 # <final>
FC7A ! 062B 0649 # <final>
FC7B ! 062B 064A # <final>
FC7C ! 0641 0649 # <final>
FC7D ! 0641 064A # <final>
FC7E ! 0642 0649 # <final>
FC7F ! 0642 064A # <final>
FC80 ! 0643 0627 # <final>
FC81 ! 0643 0644 # <final>
FC82 ! 0643 0645 # <final>
FC83 ! 0643 0649 # <final>
FC84 ! 0643 064A # <final>
FC85 ! 0644 0645 # <final>
FC86 ! 0644 0649 # <final>
FC87 ! 0644 064A # <final>
FC88 ! 0645 0627 # <final>
FC89 ! 0645 0645 # <final>
FC8A ! 0646 0631 # <final>
FC8B ! 0646 0632 # <final>
FC8C ! 0646 0645 # <final>
FC8D ! 0646 0646 # <final>
FC8E ! 0646 0649 # <final>
FC8F ! 0646 064A # <final>
FC90 ! 0649 0670 # <final>
FC91 ! 064A 0631 # <final>
FC92 ! 064A 0632 # <final>
FC93 ! 064A 0645 # <final>
FC94 ! 064A 0646 # <final>
FC95 ! 064A 0649 # <final>
FC96 ! 064A 064A # <final>
FC97 ! 0626 062C # <initial>
FC97 ! 064A 0654 062C # <initial>
FC98 ! 0626 062D # <initial>
FC98 ! 064A 0654 062D # <initial>
FC99 ! 0626 062E # <initial>
FC99 ! 064A 0654 062E # <initial>
FC9A ! 0626 0645 # <initial>
FC9A ! 064A 0654 0645 # <initial>
FC9B ! 0626 0647 # <initial>
FC9B ! 064A 0654 0647 # <initial>
FC9C ! 0628 062C # <initial>
FC9D ! 0628 062D # <initial>
FC9E ! 0628 062E # <initial>
FC9F ! 0628 0645 # <initial>
FCA0 ! 0628 0647 # <initial>
FCA1 ! 062A 062C # <initial>
FCA2 ! 062A 062D # <initial>
FCA3 ! 062A 062E # <initial>
FCA4 ! 062A 0645 # <initial>
FCA5 ! 062A 0647 # <initial>
FCA6 ! 062B 0645 # <initial>
FCA7 ! 062C 062D # <initial>
FCA8 ! 062C 0645 # <initial>
FCA9 ! 062D 062C # <initial>
FCAA ! 062D 0645 # <initial>
FCAB ! 062E 062C # <initial>
FCAC ! 062E 0645 # <initial>
FCAD ! 0633 062C # <initial>
FCAE ! 0633 062D # <initial>
FCAF ! 0633 062E # <initial>
FCB0 ! 0633 0645 # <initial>
FCB1 ! 0635 062D # <initial>
FCB2 ! 0635 062E # <initial>
FCB3 ! 0635 0645 # <initial>
FCB4 ! 0636 062C # <initial>
FCB5 ! 0636 062D # <initial>
FCB6 ! 0636 062E # <initial>
FCB7 ! 0636 0645 # <initial>
FCB8 ! 0637 062D # <initial>
FCB9 ! 0638 0645 # <initial>
FCBA ! 0639 062C # <initial>
FCBB ! 0639 0645 # <initial>
FCBC ! 063A 062C # <initial>
FCBD ! 063A 0645 # <initial>
FCBE ! 0641 062C # <initial>
FCBF ! 0641 062D # <initial>
FCC0 ! 0641 062E # <initial>
FCC1 ! 0641 0645 # <initial>
FCC2 ! 0642 062D # <initial>
FCC3 ! 0642 0645 # <initial>
FCC4 ! 0643 062C # <initial>
FCC5 ! 0643 062D # <initial>
FCC6 ! 0643 062E # <initial>
FCC7 ! 0643 0644 # <initial>
FCC8 ! 0643 0645 # <initial>
FCC9 ! 0644 062C # <initial>
FCCA ! 0644 062D # <initial>
FCCB ! 0644 062E # <initial>
FCCC ! 0644 0645 # <initial>
FCCD ! 0644 0647 # <initial>
FCCE ! 0645 062C # <initial>
FCCF ! 0645 062D # <initial>
FCD0 ! 0645 062E # <initial>
FCD1 ! 0645 0645 # <initial>
FCD2 ! 0646 062C # <initial>
FCD3 ! 0646 062D # <initial>
FCD4 ! 0646 062E # <initial>
FCD5 ! 0646 0645 # <initial>
FCD6 ! 0646 0647 # <initial>
FCD7 ! 0647 062C # <initial>
FCD8 ! 0647 0645 # <initial>
FCD9 ! 0647 0670 # <initial>
FCDA ! 064A 062C # <initial>
FCDB ! 064A 062D # <initial>
FCDC ! 064A 062E # <initial>
FCDD ! 064A 0645 # <initial>
FCDE ! 064A 0647 # <initial>
FCDF ! 0626 0645 # <medial>
FCDF ! 064A 0654 0645 # <medial>
FCE0 ! 0626 0647 # <medial>
FCE0 ! 064A 0654 0647 # <medial>
FCE1 ! 0628 0645 # <medial>
FCE2 ! 0628 0647 # <medial>
FCE3 ! 062A 0645 # <medial>
FCE4 ! 062A 0647 # <medial>
FCE5 ! 062B 0645 # <medial>
FCE6 ! 062B 0647 # <medial>
FCE7 ! 0633 0645 # <medial>
FCE8 ! 0633 0647 # <medial>
FCE9 ! 0634 0645 # <medial>
FCEA ! 0634 0647 # <medial>
FCEB ! 0643 0644 # <medial>
FCEC ! 0643 0645 # <medial>
FCED ! 0644 0645 # <medial>
FCEE ! 0646 0645 # <medial>
FCEF ! 0646 0647 # <medial>
FCF0 ! 064A 0645 # <medial>
FCF1 ! 064A 0647 # <medial>
FCF2 ! 0640 064E 0651 # <medial>
FCF3 ! 0640 064F 0651 # <medial>
FCF4 ! 0640 0650 0651 # <medial>
FCF5 ! 0637 0649 # <isolated>
FCF6 ! 0637 064A # <isolated>
FCF7 ! 0639 0649 # <isolated>
FCF8 ! 0639 064A # <isolated>
FCF9 ! 063A 0649 # <isolated>
FCFA ! 063A 064A # <isolated>
FCFB ! 0633 0649 # <isolated>
FCFC ! 0633 064A # <isolated>
FCFD ! 0634 0649 # <isolated>
FCFE ! 0634 064A # <isolated>
FCFF ! 062D 0649 # <isolated>
FD00 ! 062D 064A # <isolated>
FD01 ! 062C 0649 # <isolated>
FD02 ! 062C 064A # <isolated>
FD03 ! 062E 0649 # <isolated>
FD04 ! 062E 064A # <isolated>
FD05 ! 0635 0649 # <isolated>
FD06 ! 0635 064A # <isolated>
FD07 ! 0636 0649 # <isolated>
FD08 ! 0636 064A # <isolated>
FD09 ! 0634 062C # <isolated>
FD0A ! 0634 062D # <isolated>
FD0B ! 0634 062E # <isolated>
FD0C ! 0634 0645 # <isolated>
FD0D ! 0634 0631 # <isolated>
FD0E ! 0633 0631 # <isolated>
FD0F ! 0635 0631 # <isolated>
FD10 ! 0636 0631 # <isolated>
FD11 ! 0637 0649 # <final>
FD12 ! 0637 064A # <final>
FD13 ! 0639 0649 # <final>
FD14 ! 0639 064A # <final>
FD15 ! 063A 0649 # <final>
FD16 ! 063A 064A # <final>
FD17 ! 0633 0649 # <final>
FD18 ! 0633 064A # <final>
FD19 ! 0634 0649 # <final>
FD1A ! 0634 064A # <final>
FD1B ! 062D 0649 # <final>
FD1C ! 062D 064A # <final>
FD1D ! 062C 0649 # <final>
FD1E ! 062C 064A # <final>
FD1F ! 062E 0649 # <final>
FD20 ! 062E 064A # <final>
FD21 ! 0635 0649 # <final>
FD22 ! 0635 064A # <final>
FD23 ! 0636 0649 # <final>
FD24 ! 0636 064A # <final>
FD25 ! 0634 062C # <final>
FD26 ! 0634 062D # <final>
FD27 ! 0634 062E # <final>
FD28 ! 0634 0645 # <final>
FD29 ! 0634 0631 # <final>
FD2A ! 0633 0631 # <final>
FD2B ! 0635 0631 # <final>
FD2C ! 0636 0631 # <final>
FD2D ! 0634 062C # <initial>
FD2E ! 0634 062D # <initial>
FD2F ! 0634 062E # <initial>
FD30 ! 0634 0645 # <initial>
FD31 ! 0633 0647 # <initial>
FD32 ! 0634 0647 # <initial>
FD33 ! 0637 0645 # <initial>
FD34 ! 0633 062C # <medial>
FD35 ! 0633 062D # <medial>
FD36 ! 0633 062E # <medial>
FD37 ! 0634 062C # <medial>
FD38 ! 0634 062D # <medial>
FD39 ! 0634 062E # <medial>
FD3A ! 0637 0645 # <medial>
FD3B ! 0638 0645 # <medial>
FD3C ! 0627 064B # <final>
FD3D ! 0627 064B # <isolated>
FD50 ! 062A 062C 0645 # <initial>
FD51 ! 062A 062D 062C # <final>
FD52 ! 062A 062D 062C # <initial>
FD53 ! 062A 062D 0645 # <initial>
FD54 ! 062A 062E 0645 # <initial>
FD55 ! 062A 0645 062C # <initial>
FD56 ! 062A 0645 062D # <initial>
FD57 ! 062A 0645 062E # <initial>
FD58 ! 062C 0645 062D # <final>
FD59 ! 062C 0645 062D # <initial>
FD5A ! 062D 0645 064A # <final>
FD5B ! 062D 0645 0649 # <final>
FD5C ! 0633 062D 062C # <initial>
FD5D ! 0633 062C 062D # <initial>
FD5E ! 0633 062C 0649 # <final>
FD5F ! 0633 0645 062D # <final>
FD60 ! 0633 0645 062D # <initial>
FD61 ! 0633 0645 062C # <initial>
FD62 ! 0633 0645 0645 # <final>
FD63 ! 0633 0645 0645 # <initial>
FD64 ! 0635 062D 062D # <final>
FD65 ! 0635 062D 062D # <initial>
FD66 ! 0635 0645 0645 # <final>
FD67 ! 0634 062D 0645 # <final>
FD68 ! 0634 062D 0645 # <initial>
FD69 ! 0634 062C 064A # <final>
FD6A ! 0634 0645 062E # <final>
FD6B ! 0634 0645 062E # <initial>
FD6C ! 0634 0645 0645 # <final>
FD6D ! 0634 0645 0645 # <initial>
FD6E ! 0636 062D 0649 # <final>
FD6F ! 0636 062E 0645 # <final>
FD70 ! 0636 062E 0645 # <initial>
FD71 ! 0637 0645 062D # <final>
FD72 ! 0637 0645 062D # <initial>
FD73 ! 0637 0645 0645 # <initial>
FD74 ! 0637 0645 064A # <final>
FD75 ! 0639 062C 0645 # <final>
FD76 ! 0639 0645 0645 # <final>
FD77 ! 0639 0645 0645 # <initial>
FD78 ! 0639 0645 0649 # <final>
FD79 ! 063A 0645 0645 # <final>
FD7A ! 063A 0645 064A # <final>
FD7B ! 063A 0645 0649 # <final>
FD7C ! 0641 062E 0645 # <final>
FD7D ! 0641 062E 0645 # <initial>
FD7E ! 0642 0645 062D # <final>
FD7F ! 0642 0645 0645 # <final>
FD80 ! 0644 062D 0645 # <final>
FD81 ! 0644 062D 064A # <final>
FD82 ! 0644 062D 0649 # <final>
FD83 ! 0644 062C 062C # <initial>
FD84 ! 0644 062C 062C # <final>
FD85 ! 0644 062E 0645 # <final>
FD86 ! 0644 062E 0645 # <initial>
FD87 ! 0644 0645 062D # <final>
FD88 ! 0644 0645 062D # <initial>
FD89 ! 0645 062D 062C # <initial>
FD8A ! 0645 062D 0645 # <initial>
FD8B ! 0645 062D 064A # <final>
FD8C ! 0645 062C 062D # <initial>
FD8D ! 0645 062C 0645 # <initial>
FD8E ! 0645 062E 062C # <initial>
FD8F ! 0645 062E 0645 # <initial>
FD92 ! 0645 062C 062E # <initial>
FD93 ! 0647 0645 062C # <initial>
FD94 ! 0647 0645 0645 # <initial>
FD95 ! 0646 062D 0645 # <initial>
FD96 ! 0646 062D 0649 # <final>
FD97 ! 0646 062C 0645 # <final>
FD98 ! 0646 062C 0645 # <initial>
FD99 ! 0646 062C 0649 # <final>
FD9A ! 0646 0645 064A # <final>
FD9B ! 0646 0645 0649 # <final>
FD9C ! 064A 0645 0645 # <final>
FD9D ! 064A 0645 0645 # <initial>
FD9E ! 0628 062E 064A # <final>
FD9F ! 062A 062C 064A # <final>
FDA0 ! 062A 062C 0649 # <final>
FDA1 ! 062A 062E 064A # <final>
FDA2 ! 062A 062E 0649 # <final>
FDA3 ! 062A 0645 064A # <final>
FDA4 ! 062A 0645 0649 # <final>
FDA5 ! 062C 0645 064A # <final>
FDA6 ! 062C 062D 0649 # <final>
FDA7 ! 062C 0645 0649 # <final>
FDA8 ! 0633 062E 0649 # <final>
FDA9 ! 0635 062D 064A # <final>
FDAA ! 0634 062D 064A # <final>
FDAB ! 0636 062D 064A # <final>
FDAC ! 0644 062C 064A # <final>
FDAD ! 0644 0645 064A # <final>
FDAE ! 064A 062D 064A # <final>
FDAF ! 064A 062C 064A # <final>
FDB0 ! 064A 0645 064A # <final>
FDB1 ! 0645 0645 064A # <final>
FDB2 ! 0642 0645 064A # <final>
FDB3 ! 0646 062D 064A # <final>
FDB4 ! 0642 0645 062D # <initial>
FDB5 ! 0644 062D 0645 # <initial>
FDB6 ! 0639 0645 064A # <final>
FDB7 ! 0643 0645 064A # <final>
FDB8 ! 0646 062C 062D # <initial>
FDB9 ! 0645 062E 064A # <final>
FDBA ! 0644 062C 0645 # <initial>
FDBB ! 0643 0645 0645 # <final>
FDBC ! 0644 062C 0645 # <final>
FDBD ! 0646 062C 062D # <final>
FDBE ! 062C 062D 064A # <final>
FDBF ! 062D 062C 064A # <final>
FDC0 ! 0645 062C 064A # <final>
FDC1 ! 0641 0645 064A # <final>
FDC2 ! 0628 062D 064A # <final>
FDC3 ! 0643 0645 0645 # <initial>
FDC4 ! 0639 062C 0645 # <initial>
FDC5 ! 0635 0645 0645 # <initial>
FDC6 ! 0633 062E 064A # <final>
FDC7 ! 0646 062C 064A # <final>
FE30 ! 2025 # <vertical>
FE30 ! 002E 002E # <vertical>
FE31 ! 2014 # <vertical>
FE32 ! 2013 # <vertical>
FE33 ! 005F # <vertical>
FE34 ! 005F # <vertical>
FE35 ! 0028 # <vertical>
FE36 ! 0029 # <vertical>
FE37 ! 007B # <vertical>
FE38 ! 007D # <vertical>
FE39 ! 3014 # <vertical>
FE3A ! 3015 # <vertical>
FE3B ! 3010 # <vertical>
FE3C ! 3011 # <vertical>
FE3D ! 300A # <vertical>
FE3E ! 300B # <vertical>
FE3F ! 3008 # <vertical>
FE40 ! 3009 # <vertical>
FE41 ! 300C # <vertical>
FE42 ! 300D # <vertical>
FE43 ! 300E # <vertical>
FE44 ! 300F # <vertical>
FE47 ! 005B # <vertical>
FE48 ! 005D # <vertical>
FE49 ! 203E # <compat>
FE4A ! 203E # <compat>
FE4B ! 203E # <compat>
FE4C ! 203E # <compat>
FE4D ! 005F # <compat>
FE4E ! 005F # <compat>
FE4F ! 005F # <compat>
FE50 ! 002C # <small>
FE51 ! 3001 # <small>
FE52 ! 002E # <small>
FE54 ! 003B # <small>
FE55 ! 003A # <small>
FE56 ! 003F # <small>
FE57 ! 0021 # <small>
FE58 ! 2014 # <small>
FE59 ! 0028 # <small>
FE5A ! 0029 # <small>
FE5B ! 007B # <small>
FE5C ! 007D # <small>
FE5D ! 3014 # <small>
FE5E ! 3015 # <small>
FE5F ! 0023 # <small>
FE60 ! 0026 # <small>
FE61 ! 002A # <small>
FE62 ! 002B # <small>
FE63 ! 002D # <small>
FE64 ! 003C # <small>
FE65 ! 003E # <small>
FE66 ! 003D # <small>
FE68 ! 005C # <small>
FE69 ! 0024 # <small>
FE6A ! 0025 # <small>
FE6B ! 0040 # <small>
FE71 ! 0640 064B # <medial>
FE77 ! 0640 064E # <medial>
FE79 ! 0640 064F # <medial>
FE7B ! 0640 0650 # <medial>
FE7D ! 0640 0651 # <medial>
FE7F ! 0640 0652 # <medial>
FE80 ! 0621 # <isolated>
FE81 ! 0622 # <isolated>
FE81 ! 0627 0653 # <isolated>
FE82 ! 0622 # <final>
FE82 ! 0627 0653 # <final>
FE83 ! 0623 # <isolated>
FE83 ! 0627 0654 # <isolated>
FE84 ! 0623 # <final>
FE84 ! 0627 0654 # <final>
FE85 ! 0624 # <isolated>
FE85 ! 0648 0654 # <isolated>
FE86 ! 0624 # <final>
FE86 ! 0648 0654 # <final>
FE87 ! 0625 # <isolated>
FE87 ! 0627 0655 # <isolated>
FE88 ! 0625 # <final>
FE88 ! 0627 0655 # <final>
FE89 ! 0626 # <isolated>
FE89 ! 064A 0654 # <isolated>
FE8A ! 0626 # <final>
FE8A ! 064A 0654 # <final>
FE8B ! 0626 # <initial>
FE8B ! 064A 0654 # <initial>
FE8C ! 0626 # <medial>
FE8C ! 064A 0654 # <medial>
FE8D ! 0627 # <isolated>
FE8E ! 0627 # <final>
FE8F ! 0628 # <isolated>
FE90 ! 0628 # <final>
FE91 ! 0628 # <initial>
FE92 ! 0628 # <medial>
FE93 ! 0629 # <isolated>
FE94 ! 0629 # <final>
FE95 ! 062A # <isolated>
FE96 ! 062A # <final>
FE97 ! 062A # <initial>
FE98 ! 062A # <medial>
FE99 ! 062B # <isolated>
FE9A ! 062B # <final>
FE9B ! 062B # <initial>
FE9C ! 062B # <medial>
FE9D ! 062C # <isolated>
FE9E ! 062C # <final>
FE9F ! 062C # <initial>
FEA0 ! 062C # <medial>
FEA1 ! 062D # <isolated>
FEA2 ! 062D # <final>
FEA3 ! 062D # <initial>
FEA4 ! 062D # <medial>
FEA5 ! 062E # <isolated>
FEA6 ! 062E # <final>
FEA7 ! 062E # <initial>
FEA8 ! 062E # <medial>
FEA9 ! 062F # <isolated>
FEAA ! 062F # <final>
FEAB ! 0630 # <isolated>
FEAC ! 0630 # <final>
FEAD ! 0631 # <isolated>
FEAE ! 0631 # <final>
FEAF ! 0632 # <isolated>
FEB0 ! 0632 # <final>
FEB1 ! 0633 # <isolated>
FEB2 ! 0633 # <final>
FEB3 ! 0633 # <initial>
FEB4 ! 0633 # <medial>
FEB5 ! 0634 # <isolated>
FEB6 ! 0634 # <final>
FEB7 ! 0634 # <initial>
FEB8 ! 0634 # <medial>
FEB9 ! 0635 # <isolated>
FEBA ! 0635 # <final>
FEBB ! 0635 # <initial>
FEBC ! 0635 # <medial>
FEBD ! 0636 # <isolated>
FEBE ! 0636 # <final>
FEBF ! 0636 # <initial>
FEC0 ! 0636 # <medial>
FEC1 ! 0637 # <isolated>
FEC2 ! 0637 # <final>
FEC3 ! 0637 # <initial>
FEC4 ! 0637 # <medial>
FEC5 ! 0638 # <isolated>
FEC6 ! 0638 # <final>
FEC7 ! 0638 # <initial>
FEC8 ! 0638 # <medial>
FEC9 ! 0639 # <isolated>
FECA ! 0639 # <final>
FECB ! 0639 # <initial>
FECC ! 0639 # <medial>
FECD ! 063A # <isolated>
FECE ! 063A # <final>
FECF ! 063A # <initial>
FED0 ! 063A # <medial>
FED1 ! 0641 # <isolated>
FED2 ! 0641 # <final>
FED3 ! 0641 # <initial>
FED4 ! 0641 # <medial>
FED5 ! 0642 # <isolated>
FED6 ! 0642 # <final>
FED7 ! 0642 # <initial>
FED8 ! 0642 # <medial>
FED9 ! 0643 # <isolated>
FEDA ! 0643 # <final>
FEDB ! 0643 # <initial>
FEDC ! 0643 # <medial>
FEDD ! 0644 # <isolated>
FEDE ! 0644 # <final>
FEDF ! 0644 # <initial>
FEE0 ! 0644 # <medial>
FEE1 ! 0645 # <isolated>
FEE2 ! 0645 # <final>
FEE3 ! 0645 # <initial>
FEE4 ! 0645 # <medial>
FEE5 ! 0646 # <isolated>
FEE6 ! 0646 # <final>
FEE7 ! 0646 # <initial>
FEE8 ! 0646 # <medial>
FEE9 ! 0647 # <isolated>
FEEA ! 0647 # <final>
FEEB ! 0647 # <initial>
FEEC ! 0647 # <medial>
FEED ! 0648 # <isolated>
FEEE ! 0648 # <final>
FEEF ! 0649 # <isolated>
FEF0 ! 0649 # <final>
FEF1 ! 064A # <isolated>
FEF2 ! 064A # <final>
FEF3 ! 064A # <initial>
FEF4 ! 064A # <medial>
FEF5 ! 0644 0622 # <isolated>
FEF5 ! 0644 0627 0653 # <isolated>
FEF6 ! 0644 0622 # <final>
FEF6 ! 0644 0627 0653 # <final>
FEF7 ! 0644 0623 # <isolated>
FEF7 ! 0644 0627 0654 # <isolated>
FEF8 ! 0644 0623 # <final>
FEF8 ! 0644 0627 0654 # <final>
FEF9 ! 0644 0625 # <isolated>
FEF9 ! 0644 0627 0655 # <isolated>
FEFA ! 0644 0625 # <final>
FEFA ! 0644 0627 0655 # <final>
FEFB ! 0644 0627 # <isolated>
FEFC ! 0644 0627 # <final>
FF01 ! 0021 # <wide>
FF02 ! 0022 # <wide>
FF03 ! 0023 # <wide>
FF04 ! 0024 # <wide>
FF05 ! 0025 # <wide>
FF06 ! 0026 # <wide>
FF07 ! 0027 # <wide>
FF08 ! 0028 # <wide>
FF09 ! 0029 # <wide>
FF0A ! 002A # <wide>
FF0B ! 002B # <wide>
FF0C ! 002C # <wide>
FF0D ! 002D # <wide>
FF0E ! 002E # <wide>
FF0F ! 002F # <wide>
FF10 ! 0030 # <wide>
FF11 ! 0031 # <wide>
FF12 ! 0032 # <wide>
FF13 ! 0033 # <wide>
FF14 ! 0034 # <wide>
FF15 ! 0035 # <wide>
FF16 ! 0036 # <wide>
FF17 ! 0037 # <wide>
FF18 ! 0038 # <wide>
FF19 ! 0039 # <wide>
FF1A ! 003A # <wide>
FF1B ! 003B # <wide>
FF1C ! 003C # <wide>
FF1D ! 003D # <wide>
FF1E ! 003E # <wide>
FF1F ! 003F # <wide>
FF20 ! 0040 # <wide>
FF21 ! 0041 # <wide>
FF22 ! 0042 # <wide>
FF23 ! 0043 # <wide>
FF24 ! 0044 # <wide>
FF25 ! 0045 # <wide>
FF26 ! 0046 # <wide>
FF27 ! 0047 # <wide>
FF28 ! 0048 # <wide>
FF29 ! 0049 # <wide>
FF2A ! 004A # <wide>
FF2B ! 004B # <wide>
FF2C ! 004C # <wide>
FF2D ! 004D # <wide>
FF2E ! 004E # <wide>
FF2F ! 004F # <wide>
FF30 ! 0050 # <wide>
FF31 ! 0051 # <wide>
FF32 ! 0052 # <wide>
FF33 ! 0053 # <wide>
FF34 ! 0054 # <wide>
FF35 ! 0055 # <wide>
FF36 ! 0056 # <wide>
FF37 ! 0057 # <wide>
FF38 ! 0058 # <wide>
FF39 ! 0059 # <wide>
FF3A ! 005A # <wide>
FF3B ! 005B # <wide>
FF3C ! 005C # <wide>
FF3D ! 005D # <wide>
FF3E ! 005E # <wide>
FF3F ! 005F # <wide>
FF40 ! 0060 # <wide>
FF41 ! 0061 # <wide>
FF42 ! 0062 # <wide>
FF43 ! 0063 # <wide>
FF44 ! 0064 # <wide>
FF45 ! 0065 # <wide>
FF46 ! 0066 # <wide>
FF47 ! 0067 # <wide>
FF48 ! 0068 # <wide>
FF49 ! 0069 # <wide>
FF4A ! 006A # <wide>
FF4B ! 006B # <wide>
FF4C ! 006C # <wide>
FF4D ! 006D # <wide>
FF4E ! 006E # <wide>
FF4F ! 006F # <wide>
FF50 ! 0070 # <wide>
FF51 ! 0071 # <wide>
FF52 ! 0072 # <wide>
FF53 ! 0073 # <wide>
FF54 ! 0074 # <wide>
FF55 ! 0075 # <wide>
FF56 ! 0076 # <wide>
FF57 ! 0077 # <wide>
FF58 ! 0078 # <wide>
FF59 ! 0079 # <wide>
FF5A ! 007A # <wide>
FF5B ! 007B # <wide>
FF5C ! 007C # <wide>
FF5D ! 007D # <wide>
FF5E ! 007E # <wide>
FF5F ! 2985 # <wide>
FF60 ! 2986 # <wide>
FF61 ! 3002 # <narrow>
FF62 ! 300C # <narrow>
FF63 ! 300D # <narrow>
FF64 ! 3001 # <narrow>
FF65 ! 30FB # <narrow>
FF66 ! 30F2 # <narrow>
FF67 ! 30A1 # <narrow>
FF68 ! 30A3 # <narrow>
FF69 ! 30A5 # <narrow>
FF6A ! 30A7 # <narrow>
FF6B ! 30A9 # <narrow>
FF6C ! 30E3 # <narrow>
FF6D ! 30E5 # <narrow>
FF6E ! 30E7 # <narrow>
FF6F ! 30C3 # <narrow>
FF70 ! 30FC # <narrow>
FF71 ! 30A2 # <narrow>
FF72 ! 30A4 # <narrow>
FF73 ! 30A6 # <narrow>
FF74 ! 30A8 # <narrow>
FF75 ! 30AA # <narrow>
FF76 ! 30AB # <narrow>
FF77 ! 30AD # <narrow>
FF78 ! 30AF # <narrow>
FF79 ! 30B1 # <narrow>
FF7A ! 30B3 # <narrow>
FF7B ! 30B5 # <narrow>
FF7C ! 30B7 # <narrow>
FF7D ! 30B9 # <narrow>
FF7E ! 30BB # <narrow>
FF7F ! 30BD # <narrow>
FF80 ! 30BF # <narrow>
FF81 ! 30C1 # <narrow>
FF82 ! 30C4 # <narrow>
FF83 ! 30C6 # <narrow>
